edgeID,startNode,endNode
OCONF00305_OHALL01305,OCONF00305,OHALL01305
ODEPT01105_OHALL01405,ODEPT01105,OHALL01405
ODEPT01205_OHALL01505,ODEPT01205,OHALL01505
ODEPT01305_OHALL01705,ODEPT01305,OHALL01705
OCONF00405_OHALL01805,OCONF00405,OHALL01805
OHALL00105_OHALL00205,OHALL00105,OHALL00205
OHALL00205_OHALL00305,OHALL00205,OHALL00305
OHALL00305_OHALL00405,OHALL00305,OHALL00405
OHALL00405_OHALL00505,OHALL00405,OHALL00505
OHALL00505_OHALL00605,OHALL00505,OHALL00605
OHALL00605_OHALL00705,OHALL00605,OHALL00705
OHALL00605_OHALL00805,OHALL00605,OHALL00805
OHALL00805_OHALL00905,OHALL00805,OHALL00905
OHALL00905_OHALL01005,OHALL00905,OHALL01005
OHALL01005_OHALL01105,OHALL01005,OHALL01105
OHALL01105_OHALL01205,OHALL01105,OHALL01205
OHALL01105_OHALL01805,OHALL01105,OHALL01805
OHALL01105_OHALL01905,OHALL01105,OHALL01905
OHALL01205_OHALL01305,OHALL01205,OHALL01305
OHALL01305_OHALL01405,OHALL01305,OHALL01405
OHALL01405_OHALL01505,OHALL01405,OHALL01505
OHALL01505_OHALL01605,OHALL01505,OHALL01605
OHALL01505_OHALL02005,OHALL01505,OHALL02005
OHALL01605_OHALL01705,OHALL01605,OHALL01705
OHALL01705_OHALL01805,OHALL01705,OHALL01805
OHALL01905_OHALL02005,OHALL01905,OHALL02005
CELEV00302_AELEV00Z01,AELEV00Z01,CELEV00302
MELEV00308_CELEV00302,CELEV00302,MELEV00308
EELEV00Z04_MELEV00308,MELEV00308,EELEV00Z04
EELEV00Z04_OELEV00Z05,OELEV00Z05,EELEV00Z04
